feature_name|feature_class|state_name|map_name|prim_lat_dec|prim_long_dec
Cima Hill|Summit|California|Chounet Ranch|36.6433642|-120.6954843
Cirque Mountain|Summit|California|Buckeye Ridge|38.1315459|-119.4589458
City of Six Ridge|Ridge|California|Downieville|39.5404877|-120.8396997
City Rock|Pillar|California|Washington Mountain|41.4226677|-120.9344127
Clark Mountain|Summit|California|Coloma|38.8124793|-120.9575995
Cliff Peak|Summit|California|Stokes Mountain|36.5565074|-119.1716176
Clinton Peak|Summit|California|Pine Grove|38.3798986|-120.6756242
Cochran Hill|Summit|California|Madeline|41.0192201|-120.4751293
Codfish Point|Ridge|California|Michigan Bluff|39.1003718|-120.6928208
Cole Peak|Summit|California|Eagle Peak|41.2771251|-120.1678558
Cone Hill|Summit|California|Stanislaus|38.184173|-120.3305233
Corkscrew Peak|Summit|California|Thimble Peak|36.7705949|-117.0040238
Corn Jack Peak|Summit|California|Tucker Mountain|36.6391791|-119.1592228
Cottonwood Mountain|Summit|California|Stony Ridge|40.1691417|-120.4521519
Cottonwood Peak|Summit|California|Stony Ridge|40.1770836|-120.437323
Courthouse Rock|Pillar|California|Haystack Mountain|37.4224387|-120.2815738
Coyote Ridge|Ridge|California|Piedra|36.8132703|-119.4653623
Coyote Ridge|Ridge|California|Aukum|38.5674759|-120.668907
Crandall Peak|Summit|California|Crandall Peak|38.1588366|-120.1434027
Crater Mountain|Summit|California|Mount Pinchot|36.9224799|-118.4209834
Cross Mountain|Summit|California|Sphinx Lakes|36.7359642|-118.5032957
Crown Ridge|Ridge|California|Tehipite Dome|36.9789167|-118.8658504
Crown Rock|Pillar|California|Tehipite Dome|36.9543876|-118.8712187
Dardanelles Cone|Summit|California|Dardanelles Cone|38.4045948|-119.8720275
Davis Mountain|Summit|California|Trimmer|36.9858513|-119.2923707
Dead Pine Ridge|Ridge|California|Slide Bluffs|36.877722|-118.6452632
Deer Peak|Summit|California|San Andreas|38.1710176|-120.7310971
Deer Spring Ridge|Ridge|California|Ambrose Valley|41.2206187|-120.8031613
Deerhorn Mountain|Summit|California|Mount Brewer|36.7129628|-118.4104496
Devils Peak|Summit|California|Wentworth Springs|39.028857|-120.2912482
Devils Peak|Summit|California|Soda Springs|39.2826237|-120.4405351
Devils Thumb|Pillar|California|Michigan Bluff|39.095457|-120.6632626
Dicks Peak|Summit|California|Rockbound Valley|38.9004581|-120.1509004
