name,latitude,longitude,elevation_ft,list,section,class,emblem,mountaineers,mileage_rt,gain_ft,loss_ft,trailhead,quad,elev_estimated,coord_source,benchmark,benchmark_rating
Mount Gould,36.779776,-118.377876,13005,SPS,9.4,1s3,False,False,6.0,4150.0,335.0,Kearsarge Pass Trail,Mt. Clarence King,False,GNIS,False,
Highland Peak,38.543624,-119.755548,10935,SPS,23.5,2,False,False,6.1,2935.0,640.0,Pacific Crest Trail,Ebbetts Pass,False,GNIS,False,
Mount Muah,36.400691,-118.12514,11016,SPS,3.3,2,False,False,6.2,1980.0,880.0,Mulkey Stock Horseshoe Meadow Road,Bartlett,False,GNIS,False,
Mount Goode,37.123027,-118.568106,13085,SPS,14.8,2,False,False,6.2,3375.0,100.0,Bishop Pass Trail,North Palisade,False,GNIS,False,
MATTERHORN PEAK,38.09297,-119.38179,12279,SPS,22.9,2,True,False,6.2,5180.0,,Horse Creek Trail,MATTERHORN PEAK,False,GNIS,True,S-2.1
Alta Peak,36.590493,-118.663418,11240,SPS,6.1,1,False,False,6.3,4060.0,80.0,Alta Peak Trail,Lodgepole,True,GNIS,False,
Crag Peak,36.11176,-118.153446,9480,SPS,1.9,3,False,False,6.4,1885.0,800.0,SNF 21S36,Crag Peak,True,GNIS,False,
Dicks Peak,38.900458,-120.1509,9974,SPS,23.1,2,False,False,6.5,3740.0,325.0,12N16 Parking,Rockbound Vly.,False,GNIS,False,
Sawtooth Peak (N),36.455161,-118.555499,12343,SPS,2.9,2,False,False,6.5,5085.0,550.0,Sawtooth Pass Trail,Mineral King,False,GNIS,False,
Spanish Needle,35.77155,-118.0012,7841,SPS,1.3,3,False,False,6.6,2520.0,,Pacific Crest Trail,Lamont Peak,False,peakbagger,False,
Disaster Peak,38.448743,-119.733666,10047,SPS,23.4,2,False,False,6.7,4165.0,550.0,Disaster Creek Trail,Disaster Peak,False,GNIS,False,
Middle Palisade,37.07029,-118.469138,14012,SPS,12.8,3,False,True,6.7,6410.0,200.0,South Fork Trail,Split Mountain,False,GNIS,True,S-3.2
Clouds Rest,37.767825,-119.489196,9926,SPS,20.7,1,False,False,6.8,2460.0,700.0,Sunrise Lakes Trail,Tenaya Lake,False,GNIS,False,
Palisade Crest,37.081447,-118.48958,13553,SPS,12.1,4,False,False,6.8,5955.0,200.0,South Fork Trail,Split Mountain,False,GNIS,False,
Norman Clyde Peak,37.074485,-118.474422,13855,SPS,12.9,4,False,True,6.8,6255.0,200.0,South Fork Trail,Split Mountain,False,GNIS,True,S-4.2
Disappointment Peak,37.067903,-118.467557,13917,SPS,12.7,4,False,False,6.8,6315.0,200.0,South Fork Trail,Split Mountain,False,GNIS,False,
Vandever Mountain,36.398358,-118.581235,11947,SPS,2.7,1,False,False,6.9,4085.0,,Farewell Gap Trail,Mineral King,False,GNIS,False,
Mount McAdie,36.551753,-118.276336,13799,SPS,4.5,3,False,True,6.9,5500.0,,Mount Whitney Trail,Mount Whitney,False,GNIS,False,
Mount Irvine,36.55591,-118.263539,13780,SPS,4.4,2,False,False,7.0,5580.0,100.0,Meysan Lake Trail,Mount Whitney,True,GNIS,False,
Mount Mallory,36.549086,-118.262276,13845,SPS,4.3,2,False,False,7.0,5985.0,,Meysan Lake Trail,Mount Whitney,False,GNIS,False,
Three Sisters,37.141226,-119.060785,10612,SPS,11.9,1,False,False,7.1,2440.0,280.0,Cliff Lake Trail,Dogtooth Peak,False,GNIS,False,
Basin Mountain,37.296143,-118.660409,13181,SPS,16.4,2,False,False,7.1,5500.0,100.0,Horton Lakes Trail,Mount Tom,False,GNIS,False,
Tinker Knob,39.244635,-120.28493,8949,SPS,24.2,1,False,False,7.2,1890.0,,Pacific Crest Trail,Granite Chief,False,GNIS,False,
Cirque Peak,36.476936,-118.236977,12900,SPS,3.4,1,False,False,7.2,3060.0,100.0,Cottonwood Pass Trail,Cirque Peak,False,GNIS,False,
Mount Agassiz,37.111877,-118.530755,13893,SPS,14.7,2,False,False,7.2,4185.0,100.0,Bishop Pass Trail,North Palisade,False,GNIS,False,
Mount Starr King,37.702793,-119.517592,9092,SPS,20.5,5,False,True,7.2,3475.0,1415.0,Mono Meadows Trail,Half Dome,False,GNIS,False,
Mount Morgan (N),37.511317,-118.779836,13002,SPS,18.6,2,False,False,7.3,4100.0,940.0,Davis Lake Trail,Convict Lake,False,GNIS,False,
Homers Nose,36.384673,-118.738877,9023,SPS,2.6,1,False,False,7.3,6260.0,925.0,Cahoon Trail,Silver City,False,GNIS,False,
Mount Baldwin,37.532061,-118.851269,12615,SPS,18.7,2,False,False,7.5,5385.0,400.0,Convict Creek Trail,Convict Lake,False,GNIS,False,
Mount Mendel,37.174841,-118.682236,13710,SPS,15.8,3,False,False,7.5,5830.0,380.0,Lamark Lakes Trail,Mount Darwin,False,GNIS,False,
Mount Stanford (N),37.489339,-118.796287,12836,SPS,18.5,2,False,False,7.6,3355.0,360.0,Davis Lake Trail,Mount Abbot,False,GNIS,False,
Iron Mountain,37.611423,-119.164761,11148,SPS,19.1,1,False,False,7.7,4560.0,540.0,West campground parking,Cattle Mountain,False,GNIS,False,
Needham Mountain,36.454322,-118.537352,12520,SPS,2.1,2s3,False,False,7.8,6060.0,1350.0,Sawtooth Pass Trail,Mineral King,True,GNIS,False,
Mount Corcoran,36.538552,-118.250484,13714,SPS,4.1,2,False,False,8.0,7155.0,,Granite View Drive,Mount Langley,True,GNIS,False,
MOUNT DARWIN,37.167022,-118.672388,13831,SPS,15.7,3s4,True,False,8.0,5950.0,1380.0,Lamark Lakes Trail,MOUNT DARWIN,False,GNIS,False,
Florence Peak,36.406221,-118.55087,12432,SPS,2.8,2,False,False,8.0,6520.0,1940.0,Farewell Gap Trail,Mineral King,False,GNIS,False,
Mount LeConte,36.541617,-118.252225,13830,SPS,4.2,3,False,True,8.1,7270.0,,Granite View Drive,Mount Whitney,False,GNIS,True,S-4.0
Mokelumne Peak,38.538045,-120.094341,9334,SPS,23.6,2,False,False,8.2,4135.0,1200.0,Tanglefoot Trail,Mokelumne Pk.,False,GNIS,False,
Mount Tom,37.338556,-118.656936,13652,SPS,16.6,2,False,False,8.2,5980.0,100.0,Horton Lakes Trail,Mount Tom,False,GNIS,True,S-2.2
Half Dome,37.744402,-119.534053,8840,SPS,20.6,2,False,False,8.2,5975.0,1160.0,John Muir Trail,Half Dome,True,GNIS,False,
Four Gables,37.302473,-118.699931,12720,SPS,16.5,1,False,False,8.3,5050.0,100.0,Horton Lakes Trail,Mount Tom,True,GNIS,False,
Mount Rixford,36.784856,-118.398887,12887,SPS,9.5,2,False,False,8.3,4560.0,865.0,Kearsarge Pass Trail,Mount Clarence King,False,GNIS,True,S-2.0
Birch Mountain,37.062492,-118.419066,13602,SPS,12.5,2,False,False,8.3,7780.0,150.0,McMurray Meadows Road,Split Mountain,False,GNIS,False,
Red and White Mountain,37.479892,-118.857269,12816,SPS,18.4,2,False,False,8.4,5080.0,400.0,McGee Creek Trail,Mount Abbot,False,GNIS,False,
Whorl Mountain,38.074121,-119.383428,12033,SPS,22.8,3,False,True,8.5,6095.0,1160.0,Horse Creek Trail,Matterhorn Peak,False,GNIS,False,
Thunderbolt Peak,37.097488,-118.517293,14003,SPS,14.5,4s5,False,True,8.6,4395.0,200.0,Bishop Pass Trail,North Palisade,False,GNIS,False,
The Thumb,37.07148,-118.445977,13356,SPS,12.6,2,False,False,8.9,7535.0,150.0,McMurray Meadows Road,Split Mountain,False,GNIS,False,
Mount Perkins,36.927166,-118.381436,12566,SPS,10.3,2,False,False,9.0,6830.0,,Armstong Canyon,Mount Pinchot,False,GNIS,False,
Clyde Minaret,37.66028,-119.1739,12264,SPS,19.2,4,False,True,9.1,3935.0,,River Trail,Mount Ritter,False,peakbagger,False,
Vogelsang Peak,37.777365,-119.349521,11493,SPS,21.2,2,False,False,9.1,3485.0,710.0,John Muir Trail,Vogelsang Peak,False,GNIS,False,
Mount Thompson,37.142882,-118.613612,13494,SPS,15.1,2,False,False,9.1,5620.0,1200.0,Sabrina Basin Trail,Mount Thompson,False,GNIS,False,
Mount Muir,36.564739,-118.291329,14012,SPS,4.6,3,False,False,9.2,5910.0,200.0,Mount Whitney Trail,Mount Whitney,False,GNIS,True,S-3.0
Mount Powell,37.138674,-118.634023,13360,SPS,15.2,2,False,False,9.2,5785.0,1500.0,Sabrina Basin Trail,Mount Thompson,True,GNIS,False,
Virginia Peak,38.065851,-119.357893,12001,SPS,22.6,2,False,False,9.3,3990.0,1800.0,Virginia Lakes Trail,Dunderberg Peak,False,GNIS,False,
Twin Peaks,38.080489,-119.357527,12323,SPS,22.7,2,False,False,9.3,4895.0,2300.0,Virginia Lakes Trail,Dunderberg Peak,False,GNIS,False,
Mount Tinemaha,37.036314,-118.396367,12520,SPS,12.2,2,False,False,9.3,7785.0,80.0,Red Lake Trail,Split Mountain,False,GNIS,False,
Merriam Peak,37.309126,-118.765212,13103,SPS,17.1,2,False,False,9.4,5855.0,150.0,Pine Creek Pass Trail,Mount Hilgard,False,GNIS,False,
Silver Peak,37.469703,-119.0212,11878,SPS,18.1,2,False,False,9.5,4220.0,,Devils Bathtub Trail,Sharktooth Peak,False,GNIS,False,
Mount Gayley,37.103001,-118.499807,13510,SPS,14.2,3,False,False,9.5,5810.0,100.0,North Fork Trail,Split Mountain,False,GNIS,False,
Mount Goethe,37.206148,-118.702298,13264,SPS,16.1,1,False,False,9.6,6025.0,2020.0,Lamark Lakes Trail,Mount Darwin,False,GNIS,False,
Mount Bolton-Brown,37.046129,-118.441029,13491,SPS,12.4,2,False,False,9.6,8220.0,700.0,McMurray Meadows Road,Split Mountain,False,GNIS,False,
Koip Peak,37.813721,-119.201544,12962,SPS,21.6,1,False,False,9.7,3005.0,400.0,Mono Pass Trail,Koip Peak,False,GNIS,False,
Mount Haeckel,37.150992,-118.661007,13418,SPS,15.4,3,False,False,9.7,4495.0,150.0,Sabrina Basin Trail,Mount Darwin,False,GNIS,False,
Mount Bago,36.769994,-118.438088,11870,SPS,9.6,1,False,False,9.7,4110.0,1430.0,Kearsarge Pass Trail,Mount Clarence King,False,GNIS,False,
Mount Winchell,37.104596,-118.526166,13775,SPS,14.6,3,False,False,9.7,6065.0,100.0,North Fork Trail,North Palisade,False,GNIS,False,
Royce Peak,37.318174,-118.770896,13280,SPS,17.2,2,False,False,9.7,6030.0,150.0,Pine Creek Pass Trail,Mount Hilgard,True,GNIS,False,
Mount Keith,36.700069,-118.343416,13976,SPS,8.9,2,False,False,9.7,8315.0,650.0,Shepherd Pass Trail,Mount Williamson,False,GNIS,False,
Cardinal Mountain,36.999405,-118.412737,13396,SPS,10.1,2,False,False,9.8,7980.0,40.0,Taboose Pass Trail,Mount Pinchot,False,GNIS,False,
Black Mountain,36.809148,-118.378012,13291,SPS,9.11,2,False,False,10.0,7640.0,275.0,Baxter Pass Trail,Mount Clarence King,False,GNIS,False,
Mount Wynne,36.938011,-118.402918,13179,SPS,10.4,2,False,False,10.0,7995.0,550.0,Scotty Spring,Mount Pinchot,False,GNIS,False,
Goat Mountain,36.869469,-118.574211,12207,SPS,11.4,2,False,False,10.1,7410.0,240.0,Granite Pass Trail,The Sphinx,False,GNIS,False,
Mount Pinchot,36.947328,-118.4052,13494,SPS,10.5,2,False,False,10.1,8010.0,250.0,Scotty Spring,Mount Pinchot,False,GNIS,False,
Mount Wallace,37.146807,-118.656798,13377,SPS,15.3,2s3,False,False,10.2,4450.0,150.0,Sabrina Basin Trail,Mount Darwin,False,GNIS,False,
MOUNT HUMPHREYS,37.269972,-118.671653,13986,SPS,16.3,4,True,False,10.2,5045.0,400.0,Piute Pass Trail,MOUNT TOM,False,GNIS,True,S-4.1
Angora Mountain,36.264326,-118.446047,10198,SPS,2.2,2,False,False,10.2,5880.0,1500.0,Jerky Meadows Trail,Kern Lake,False,GNIS,False,
Mount Huxley,37.136036,-118.682739,13086,SPS,15.6,3,False,False,10.2,5875.0,1850.0,Sabrina Basin Trail,Mount Darwin,False,GNIS,False,
Mount Hitchcock,36.554866,-118.311852,13186,SPS,3.11,1,False,False,10.3,5300.0,475.0,Mount Whitney Trail,Mount Whitney,False,GNIS,False,
Mount Julius Ceasar,37.356733,-118.781666,13200,SPS,17.3,2,False,False,10.3,6100.0,300.0,Pine Creek Pass Trail,Mount Hilgard,True,GNIS,False,
Spanish Mountain,36.909209,-118.891391,10051,SPS,11.8,1,False,False,10.4,3610.0,280.0,Crown Valley Trail,Rough Spur,False,GNIS,False,
Pilot Knob (N),37.273405,-118.757111,12245,SPS,16.7,2,False,False,10.5,3795.0,800.0,North Lake Trail,Mount Hilgard,False,GNIS,False,
NORTH PALISADE,37.094243,-118.514437,14242,SPS,14.4,4,True,False,10.5,6530.0,100.0,North Fork Trail,NORTH PALISADE,False,GNIS,True,S-4.1
SPLIT MOUNTAIN,37.02096,-118.422536,14042,SPS,12.1,1,True,False,10.5,9305.0,80.0,Red Lake Trail,SPLIT MOUNTAIN,True,GNIS,False,
Giraud Peak,37.077297,-118.564477,12608,SPS,13.2,2,False,False,10.6,5045.0,1350.0,Bishop Pass Trail,North Palisade,False,GNIS,False,
Mount Baxter,36.861438,-118.36222,13136,SPS,10.1,2,False,False,10.6,8355.0,1200.0,Baxter Pass Trail,Kearsarge Peak,False,GNIS,False,
Mount Hale,36.588037,-118.314654,13494,SPS,5.2,1,False,False,10.7,6945.0,1750.0,Mount Whitney Trail,Mount Whitney,False,GNIS,False,
Mount Young,36.581042,-118.327623,13176,SPS,5.1,1,False,False,10.8,6625.0,1750.0,Mount Whitney Trail,Mount Whitney,False,GNIS,False,
Red Slate Mountain,37.507448,-118.86915,13123,SPS,18.4,1,False,True,10.9,4990.0,,McGee Creek Trail,Convict Lake,True,GNIS,False,
MOUNT WHITNEY,36.57857,-118.292422,14491,SPS,4.7,1,True,False,10.9,6390.0,200.0,Mount Whitney Trail,MOUNT WHITNEY,False,GNIS,True,S-1.0
Mount Silliman,36.643245,-118.696764,11188,SPS,6.2,1,False,False,11.0,4770.0,330.0,Silliman Pass Trail,Mount Silliman,False,GNIS,False,
OLANCHA PEAK,36.265368,-118.118152,12123,SPS,3.1,2,True,False,11.0,6435.0,100.0,Olancha Pass Trail,OLANCHA,False,GNIS,True,S-2.1
Goodale Mountain,36.972169,-118.385438,12772,SPS,10.9,2s3,False,False,11.0,7395.0,40.0,Taboose Pass Trail,Mount Pinchot,False,GNIS,False,
Mount Langley,36.523367,-118.239416,14026,SPS,3.5,1,False,False,11.1,4795.0,400.0,Cottonwood Lakes Trail,Mount Langley,False,GNIS,True,S-1.1
Mount Tyndall,36.655744,-118.337273,14019,SPS,5.8,2,False,False,11.1,8360.0,650.0,Shepherd Pass Trail,Mount Williamson,False,GNIS,False,
Mount Prater,37.036793,-118.434705,13471,SPS,12.3,1,False,False,11.3,8735.0,80.0,Red Lake Trail,Split Mountain,False,GNIS,False,
Black Hawk Mountain,38.20597,-119.708986,10348,SPS,23.1,2,False,False,11.4,4190.0,200.0,Huckleberry Trail,Emigrant Lake,False,GNIS,False,
Mount Davis,37.714989,-119.219382,12303,SPS,19.5,2,False,False,11.4,5100.0,1120.0,Pacific Crest Trail,Mount Ritter,False,GNIS,False,
Banner Peak,37.696442,-119.194743,12936,SPS,19.4,2,False,False,11.4,5730.0,1120.0,Pacific Crest Trail,Mount Ritter,False,GNIS,False,
Striped Mountain,36.965621,-118.403766,13179,SPS,10.8,1,False,False,11.4,7810.0,40.0,Taboose Pass Trail,Mount Pinchot,False,GNIS,False,
Mount Fiske,37.136569,-118.667835,13503,SPS,15.5,2,False,False,11.5,5630.0,1200.0,Sabrina Basin Trail,Mount Darwin,False,GNIS,False,
Diamond Peak,36.826359,-118.390272,13127,SPS,9.12,2,False,False,11.6,8860.0,1765.0,Baxter Pass Trail,Mount Clarence King,False,GNIS,False,
Mount Sill,37.095985,-118.503396,14153,SPS,14.3,2,False,True,11.9,7685.0,1340.0,North Fork Trail,North Palisade,False,GNIS,False,
North Guard,36.716527,-118.490038,13327,SPS,7.1,3s4,False,False,12.0,5715.0,200.0,Roads end to Bubbs Creek Trail,Mount Brewer,False,GNIS,False,
MOUNT RITTER,37.688965,-119.199575,13143,SPS,19.3,2,True,False,12.2,6070.0,1250.0,Pacific Crest Trail,MOUNT RITTER,False,GNIS,True,S-3.2
Kennedy Mountain,36.879116,-118.668186,11433,SPS,11.5,1,False,False,12.2,7685.0,800.0,Jerky Meadows Trail,Slide Bluffs,False,GNIS,False,
Mount Harrington,36.870005,-118.733645,11009,SPS,11.6,3,False,False,12.4,7210.0,750.0,Kennedy Pass Trail,Cedar Grove,False,GNIS,False,
Junction Peak,36.690962,-118.366282,13845,SPS,8.8,3,False,True,12.4,8185.0,650.0,Shepherd Pass Trail,Mount Williamson,True,GNIS,False,
Mount Clark,37.696373,-119.428613,11522,SPS,20.4,3s4,False,True,12.5,5190.0,900.0,Mono Meadows Trail,Merced Peak,False,GNIS,False,
East Vidette,36.743814,-118.400555,12356,SPS,8.6,2s3,False,True,12.5,5515.0,1350.0,Kearsarge Pass Trail,Mount Brewer,False,GNIS,False,
The Hermit,37.162897,-118.718487,12328,SPS,15.1,2s5,False,True,12.5,6195.0,3125.0,Lamark Lakes Trail,Mount Darwin,False,GNIS,False,
Mount Izaak Walton,37.469966,-118.889922,12077,SPS,18.2,2,False,False,12.6,5215.0,800.0,Mono Creek Trail,Graveyard Peak,False,GNIS,False,
Trojan Peak,36.642322,-118.315286,13947,SPS,5.7,2,False,False,12.6,8565.0,920.0,Shepherd Pass Trail,Mount Williamson,False,GNIS,False,
West Vidette,36.733905,-118.419727,12533,SPS,8.7,2,False,False,12.7,5695.0,2350.0,Kearsarge Pass Trail,Mount Brewer,True,GNIS,False,
Recess Peak,37.38242,-118.855452,12813,SPS,17.5,2,False,False,12.9,6385.0,1150.0,Bear Ridge Trail,Mount Abbot,False,GNIS,False,
MOUNT WILLIAMSON,36.655954,-118.311085,14370,SPS,5.9,2,True,False,12.9,8990.0,920.0,Shepherd Pass Trail,MOUNT WILLIAMSON,True,GNIS,True,S-3.1
Colosseum Mountain,36.90719,-118.367004,12473,SPS,10.2,1,False,False,13.0,8405.0,520.0,Sawmill Pass Trail,Aberdeen,False,GNIS,False,
Mount Florence,37.739772,-119.316033,12561,SPS,21.3,2,False,False,13.2,5050.0,100.0,John Muir Trail,Mount Lyell,False,GNIS,False,
MOUNT BREWER,36.708319,-118.485233,13570,SPS,7.9,2,True,False,13.5,6310.0,550.0,Roads end to Bubbs Creek Trail,MOUNT BREWER,False,GNIS,False,
Black Giant,37.102239,-118.648707,13330,SPS,13.6,1,False,False,13.5,5655.0,1400.0,Sabrina Basin Trail,Mount Goddard,False,GNIS,False,
Tehipite Dome,36.918839,-118.780689,7708,SPS,11.7,2s3,False,True,13.5,5680.0,2800.0,Rancheria Trail,Tehipite Dome,False,GNIS,False,
Rogers Peak,36.217999,-117.08498,12978,SPS,19.6,2,False,False,13.5,7490.0,1750.0,Rush Creek Trail,Mount Lyell,False,GNIS,False,
Electra Peak,37.705208,-119.260172,12442,SPS,19.7,2,False,False,13.5,7800.0,2600.0,Rush Creek Trail,Mount Lyell,False,GNIS,False,
Mount Hilgard,37.360312,-118.826932,13361,SPS,17.4,2,False,False,13.7,7760.0,1800.0,Pine Creek Pass Trail,Mount Hilgard,False,GNIS,False,
Mount MacClure,37.74357,-119.280355,12880,SPS,21.4,3,False,False,13.8,4280.0,120.0,John Muir Trail,Mount Lyell,True,GNIS,False,
MOUNT LYELL,37.739412,-119.271888,13144,SPS,21.5,3,True,False,13.8,4545.0,120.0,John Muir Trail,MOUNT LYELL,False,GNIS,False,
Mount Gabb,37.376631,-118.802736,13680,SPS,17.6,2,False,False,13.8,7905.0,1625.0,Pine Creek Pass Trail,Mount Abbot,True,GNIS,False,
Mount Barnard,36.628403,-118.321599,13990,SPS,5.6,2,False,False,13.9,9330.0,1650.0,Shepherd Pass Trail,Mount Williamson,False,GNIS,False,
Charybdis,37.086854,-118.668169,13096,SPS,13.7,3,False,True,14.0,5820.0,1800.0,Sabrina Basin Trail,Mount Goddard,False,GNIS,False,
Pyramid Peak (S),36.906413,-118.462111,12779,SPS,10.6,2,False,False,14.0,7980.0,250.0,Sawmill Pass Trail,Mount Pinchot,False,GNIS,False,
Deerhorn Mountain,36.712963,-118.41045,13281,SPS,8.5,3,False,True,14.0,6440.0,2350.0,Kearsarge Pass Trail,Mount Brewer,False,GNIS,False,
Mount Gardiner,36.8061,-118.459192,12907,SPS,9.7,4,False,True,14.2,5535.0,1820.0,Kearsarge Pass Trail,Mount Clarence King,False,GNIS,False,
Coyote Peaks,36.312087,-118.447367,10892,SPS,2.3,2,False,False,14.3,7170.0,2100.0,Jerky Meadows Trail,Kern Lake,False,GNIS,False,
Seven Gables,37.310878,-118.833523,13080,SPS,16.9,2,False,True,14.7,6580.0,1150.0,Bear Ridge Trail,Mount Hilgard,True,GNIS,False,
South Guard,36.693459,-118.483874,13232,SPS,7.8,2,False,False,15.0,6620.0,1200.0,Roads end to Bubbs Creek Trail,Mount Brewer,False,GNIS,False,
Arrow Peak,36.928521,-118.490881,12959,SPS,10.7,2,False,True,15.0,8160.0,250.0,Roads end to Bubbs Creek Trail,Mount Pinchot,False,GNIS,False,
Center Peak,36.721928,-118.36264,12730,SPS,8.11,2s4,False,False,15.7,5815.0,2275.0,Kearsarge Pass Trail,Mount Williamson,True,GNIS,False,
Gemini,37.296552,-118.816987,12880,SPS,16.8,2,False,False,16.0,6380.0,1150.0,Bear Ridge Trail,Mount Hilgard,True,GNIS,False,
Mount Senger,37.277702,-118.858395,12286,SPS,16.1,2,False,False,16.2,5725.0,800.0,Blayney Meadows Trail,Mount Hilgard,False,GNIS,False,
Scylla,37.080129,-118.689668,12956,SPS,13.8,2,False,False,16.2,6195.0,2400.0,Sabrina Basin Trail,Mount Goddard,False,GNIS,False,
Mount Cotter,36.818794,-118.44186,12713,SPS,9.8,2,False,False,16.2,6255.0,2730.0,Kearsarge Pass Trail,Mount Clarence King,False,GNIS,False,
Mount Eisen,36.498281,-118.568505,12160,SPS,6.3,2,False,False,16.5,6750.0,2400.0,Sawtooth Pass Trail,Mineral King,True,GNIS,False,
Joe Devel Peak,36.515326,-118.296379,13327,SPS,3.7,2,False,False,17.0,5285.0,1900.0,Cottonwood Pass Trail,Mount Whitney,False,GNIS,False,
Mount McDuffie,37.073525,-118.643919,13282,SPS,13.5,2,False,True,17.0,8870.0,3400.0,Bishop Pass Trail,Mount Goddard,False,GNIS,False,
Kern Peak,36.308403,-118.287853,11510,SPS,2.1,1,False,False,17.2,4920.0,3350.0,Cottonwood Pass Trail,Kern Peak,False,GNIS,False,
MOUNT CLARENCE KING,36.833753,-118.446185,12907,SPS,9.9,4s5,True,False,17.2,6445.0,2730.0,Kearsarge Pass Trail,MT CLARENCE KING,False,GNIS,False,
Mount Ericsson,36.697153,-118.414464,13583,SPS,8.3,2,False,True,17.5,8150.0,200.0,Roads end to Bubbs Creek Trail,Mount Brewer,True,GNIS,False,
Tower Peak,38.144463,-119.54772,11755,SPS,22.13,3,False,True,17.7,5325.0,800.0,Leavitt Meadows Trail,Tower Peak,False,GNIS,False,
Mount Guyot,36.509234,-118.362641,12300,SPS,3.6,1,False,False,18.1,4760.0,2400.0,Cottonwood Pass Trail,Mount Whitney,False,GNIS,False,
Mount Hooper,37.292179,-118.895106,12349,SPS,16.11,2s4,False,False,18.2,5790.0,800.0,Blayney Meadows Trail,Florence Lake,False,GNIS,False,
Mount Pickering,36.527273,-118.290889,13474,SPS,3.8,2,False,False,18.5,5900.0,2365.0,Cottonwood Pass Trail,Mount Whitney,False,GNIS,False,
Merced Peak,37.634866,-119.394556,11726,SPS,20.1,2,False,False,18.5,6900.0,2405.0,Mono Meadows TH,Merced Peak,False,GNIS,False,
Mount Stanford (S),36.703965,-118.395703,13973,SPS,8.4,3,False,False,18.5,9140.0,200.0,Roads end to Bubbs Creek Trail,Mount Brewer,False,GNIS,False,
Devils Crag #1,37.038056,-118.612461,12400,SPS,13.3,4,False,True,18.5,6410.0,3820.0,Bishop Pass Trail,North Palisade,True,GNIS,False,
Lion Rock,36.582348,-118.541987,12360,SPS,6.7,2,False,False,18.5,7650.0,2550.0,Alta Peak Trail,Triple Divide Peak,True,GNIS,False,
Mount McGee,37.138821,-118.738153,12944,SPS,15.11,3,False,False,18.5,7140.0,3450.0,Lamark Lakes Trail,Mount Darwin,False,GNIS,False,
Mount Ruskin,36.978467,-118.473353,12920,SPS,11.1,3,False,True,18.5,9705.0,2200.0,Taboose Pass Trail,Mount Pinchot,False,GNIS,False,
Piute Mountain,38.033526,-119.548096,10541,SPS,22.12,2,False,False,18.7,4640.0,1200.0,Barney Lake Trail,Piute Mountain,False,GNIS,False,
State Peak,36.931979,-118.545429,12620,SPS,11.3,2,False,False,18.7,8305.0,720.0,Granite Pass Trail,Marion Peak,False,GNIS,False,
Wheel Mountain,37.046727,-118.629452,12774,SPS,13.4,3,False,False,18.7,6815.0,3850.0,Bishop Pass Trail,Mount Goddard,False,GNIS,False,
Mount Chamberlin,36.533542,-118.310654,13169,SPS,3.9,1,False,False,18.8,5130.0,1900.0,Cottonwood Pass Trail,Mount Whitney,False,GNIS,False,
MOUNT GODDARD,37.102915,-118.719884,13568,SPS,13.9,2,True,False,18.8,7960.0,2200.0,Bishop Pass Trail,MOUNT GODDARD,False,GNIS,False,
Caltech Peak,36.688415,-118.390488,13832,SPS,8.12,2,False,False,18.9,9275.0,1775.0,Shepherd Pass Trail,Mount Brewer,False,GNIS,False,
Mount Newcomb,36.540068,-118.293411,13422,SPS,3.1,2,False,False,19.0,5380.0,1900.0,Cottonwood Pass Trail,Mount Whitney,False,GNIS,False,
Triple Divide Peak,36.592884,-118.530756,12634,SPS,7.1,2,False,True,19.2,7325.0,2450.0,Alta Peak Trail,Triple Divide Peak,False,GNIS,False,
Red Peak,37.653725,-119.409495,11699,SPS,20.2,2,False,False,19.5,5470.0,1000.0,Mono Meadows Trail,Merced Peak,False,GNIS,False,
Forester Peak,37.690021,-119.290751,12057,SPS,19.8,2,False,False,19.8,6385.0,1300.0,Iceberg Pass Trail,Mount Lyell,False,GNIS,False,
Table Mountain,36.659904,-118.473704,13632,SPS,7.6,3,False,True,19.9,9920.0,2600.0,Shepherd Pass Trail,Mount Brewer,False,GNIS,False,
Mount Henry,37.183191,-118.827236,12196,SPS,15.13,2,False,False,20.0,4715.0,700.0,Blackcap Basin Trail,Mount Henry,False,GNIS,False,
Thunder Mountain,36.668952,-118.475777,13517,SPS,7.7,3s4,False,True,20.0,9625.0,2420.0,Shepherd Pass Trail,Mount Brewer,True,GNIS,False,
Marion Peak,36.956863,-118.522297,12719,SPS,11.2,2,False,False,20.0,10655.0,3350.0,Taboose Pass Trail,Marion Peak,False,GNIS,False,
Milestone Mountain,36.634474,-118.484532,13638,SPS,7.4,3,False,True,20.1,9930.0,2600.0,Shepherd Pass Trail,Mount Brewer,False,GNIS,False,
Midway Mountain,36.643325,-118.48371,13665,SPS,7.5,2,False,False,20.2,9955.0,2600.0,Shepherd Pass Trail,Mount Brewer,False,GNIS,False,
Mount Genevra,36.683307,-118.434325,13054,SPS,8.2,2,False,False,20.3,9620.0,1600.0,Roads end to Bubbs Creek Trail,Mount Brewer,False,GNIS,False,
Observation Peak,37.023215,-118.523665,12362,SPS,13.1,2,False,False,20.7,7550.0,4000.0,Bishop Pass Trail,North Palisade,False,GNIS,False,
Mount Jordan,36.682248,-118.449785,13320,SPS,8.1,3s4,False,False,20.8,9885.0,1600.0,Granite Pass Trail,Mount Brewer,True,GNIS,False,
Emerald Peak,37.165368,-118.763821,12546,SPS,15.12,2,False,False,21.5,6035.0,850.0,Blayney Meadows Trail,Mount Henry,False,GNIS,False,
