name,latitude,longitude,elevation_ft,list,section,class,emblem,mountaineers,mileage_rt,gain_ft,loss_ft,trailhead,quad,elev_estimated,coord_source,benchmark,benchmark_rating
Walker Mountain,38.236015,-119.472645,11572,non-SPS,23.12,2,False,False,,,,,Ridge,False,GNIS,False,
Hanging Valley Ridge,38.234885,-119.459772,11371,non-SPS,23.13,2,False,False,,,,,Ridge,False,GNIS,False,
Mount Emma,38.277066,-119.476264,10535,non-SPS,23.14,2,False,False,,,,,Springs,False,GNIS,False,
Molo Mountain,38.234531,-119.656928,10875,non-SPS,23.15,2,False,False,,,,,Lake,False,GNIS,False,
Sonora Peak,38.353881,-119.635374,11459,non-SPS,23.16,2,False,False,,,,,Pass,False,GNIS,False,
White Mountain (Sonora Pass),,,11388,non-SPS,23.17,1,False,False,,,,,Peak,False,,False,
Iceberg Peak,38.450368,-119.822646,9777,non-SPS,23.18,2,False,False,,,,,Cone,False,GNIS,False,
Airola Peak,38.457515,-119.815425,9932,non-SPS,23.19,2,False,False,,,,,Cone,False,GNIS,False,
Arnot Peak,38.472825,-119.759631,10033,non-SPS,23.2,2,False,False,,,,,Peak,False,GNIS,False,
Hiram Peak,38.477876,-119.803416,9800,non-SPS,23.21,2,False,False,,,,,Pass,False,GNIS,False,
Folger Peak,38.49567,-119.816238,9705,non-SPS,23.22,1,False,False,,,,,Pass,False,GNIS,False,
Peep Sight Peak,38.497127,-119.851793,9705,non-SPS,23.23,2,False,False,,,,,Pass,False,GNIS,False,
Lookout Peak (Ebbetts Pass) @,,,9577,non-SPS,23.24,2,False,False,,,,,Pass,False,,False,
Henry Peak,38.48648,-119.880018,9334,non-SPS,23.25,1,False,False,,,,,Meadows,False,GNIS,False,
Bull Run Peak,,,9498,non-SPS,23.26,2,False,False,,,,,Meadows,False,,False,
Ebbetts Peak,38.547681,-119.814333,9160,non-SPS,23.27,1,False,False,,,,,Pass,False,GNIS,False,
Silver Peak  (Ebbetts Pass) @,,,10798,non-SPS,23.28,2,False,False,,,,,Pass,False,,False,
Reynolds Peak @,38.580639,-119.838568,9666,non-SPS,23.29,4,False,False,,,,,Pass,False,GNIS,False,
