name,campground,capacity,water_proximity,restroom_proximity,notes
Cathedral,Sunol Backpack Camp,5,,,"Densely shaded, cool in summer."
Eagles Aerie,Sunol Backpack Camp,10,,,"Excellent view of Alameda Creek canyon and Oak Ridge. Noted as ""best"" among Sunol Backpack Camp's sites in this project's trip-planning research (source of that ranking not otherwise specified)."
Hawks Nest,Sunol Backpack Camp,5,closest to water,near-ish,Excellent view of Alameda Creek canyon and Oak Ridge.
Oak View,Sunol Backpack Camp,5,,,Excellent view of lower Alameda Creek canyon and Mission Peak.
Sky Camp,Sunol Backpack Camp,3,,,Magnificent view of Alameda Creek canyon and Oak Ridge.
Stars Rest,Sunol Backpack Camp,30,,,Good view of Alameda Creek canyon and Mission Peak.
Sycamore,Sunol Backpack Camp,5,,,Good view of Alameda Creek canyon. Very shady.
